,,,,,,,,,,,,,,,,,,,,,
,,TAHUN (YYYY) : ,,,,,2026,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,002,REGIONAL : ,,,,,Regional.2,,,,,,,,,,,,,,
,RegP2,,,,,,,,,,,,,,,,,,,,
,38,CABANG / TERMINAL : ,,,,,Banten,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Bulan,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,
,,,,,,,,,,,,,,,,,,,,,
,,No,Uraian,,,,,Satuan,2026,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Total
,,1,2,,,,,3,4,,,,,,,,,,,,5
,,,,,,,,,,,,,,,,,,,,,
,403.05.03.01.01.00.00.00.00,,,,1,Stevedoring,,Unit,,,,,,,,,,,,,0.00
,403.05.03.01.02.00.00.00.00,,,,2,Cargodoring,,Unit,,,,,,,,,,,,,0.00
,403.05.03.01.03.00.00.00.00,,,,3,Receiving/Delivery,,Unit,,,,,,,,,,,,,0.00
,403.05.03.02.00.00.00.00.00,,,2,Kerjasama Pelayanan B/M,,,Unit,,,,,,,,,,,,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,8,PELAYANAN BARANG NON PETIKEMAS BAG CARGO,,,,,,,,,,,,,,,,,,
,403.06.01.00.00.00.00.00.00,,1,Dermaga,,,,Ton,"1,025.00","4,383.00","3,751.00","3,803.00","2,145.00",,,,,,,,"15,107.00"
,403.06.02.00.00.00.00.00.00,,2,Lapangan Penumpukan,,,,M3,,,,,,,,,,,,,0.00
,,,3,Bongkar Muat,,,,,,,,,,,,,,,,,
,,,,1,Per Mata Rantai,,,,,,,,,,,,,,,,
